author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1540168;Tuesday;;;03/11/2015;Nov;14:50:34;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1540148;Tuesday;;;03/11/2015;Nov;14:35:14;;;1;1;Frontier;;;;;
Jimmy;r1539956;Tuesday;;;03/11/2015;Nov;10:32:49;;;1;1;Added carriage return;;;;;
Thomas;r1539933;Tuesday;;;03/11/2015;Nov;09:59:13;;;1;1;Return imports;;;;;
Thomas;r1539930;Tuesday;;;03/11/2015;Nov;09:57:23;;;1;1;PHONE-1855: Phone - Android Prod Cannot Switch Account;;;;;
ajon0002;r1539664;Monday;;;02/11/2015;Nov;15:15:35;;;1;1;add string widget_header_update_text; containing generic update message for HomeScreenWidget ViewFlipper TextView.;;;;
ajon0002;r1539662;Monday;;;02/11/2015;Nov;15:13:19;;;6;1;Add private List<Count> countsDelta. Add constructor with Matrix parameter. Add getter and setter for countsDelta.  New constructor calls existing constructor; plus populates countsDelta. TODO is to hold counts delta per Count.type; instead of in a List; as this is last stop for delta before passing to Intent; which must be as Strings; so do the iterating here.
ajon0002;r1539659;Monday;;;02/11/2015;Nov;15:09:41;;;3;1;Add private List<Count> countsDelta. Populated from CountsMerge.delta on Matrix.updateMediaType call. Holds delta on Counts between this matrix and previous matrix.;;;;;
ajon0002;r1539656;Monday;;;02/11/2015;Nov;15:06:09;;;4;1;"Add logic onUpdate such that visibility of placeholder logo and viewflipper are toggled. ViewFlipper flips every 5 seconds between logo and update message (""New content..."")/ After 60s visibility of the VF and placeholder logo are reversed";" stopping the animation. TODO: switch generic update message to ""X new photos";" Y new files..."" from Matrix delta.";;;
ajon0002;r1539654;Monday;;;02/11/2015;Nov;15:02:56;;;2;1;Add DELTA contstants such that Intent sent to HomeScreenWidget can hold delta counts for widet update message. These are not currently used.;;;;;
